contest_id,name,startTimeSeconds,problem_count_in_problemset
2218,Codeforces Round 1090 (Div. 4),1775313300,7
2185,Codeforces Round 1074 (Div. 4),1768746900,8
2167,Codeforces Round 1062 (Div. 4),1761662100,7
2148,Codeforces Round 1050 (Div. 4),1757774100,7
2094,Codeforces Round 1017 (Div. 4),1744558500,8
2065,Codeforces Round 1003 (Div. 4),1739111700,9
2044,Codeforces Round 993 (Div. 4),1734273300,9
2009,Codeforces Round 971 (Div. 4),1725374100,9
1999,Codeforces Round 964 (Div. 4),1722954900,8
1985,Codeforces Round 952 (Div. 4),1718116500,9
